Phage accession	Host lineage
AP017972.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AP018361.1	{'genus': ['Lactobacillus'], 'family': ['Lactobacillaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
AP018375.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
AP018399.1	{'genus': ['Xanthomonas'], 'family': ['Xanthomonadaceae'], 'order': ['Xanthomonadales'], 'phylum': ['Proteobacteria']}
AP018462.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018463.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018469.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018476.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018477.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018479.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018485.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018486.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018487.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AP018714.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
AP018715.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
AP018932.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP019415.2	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
AP019418.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
AP019522.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
AP019527.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
AP019535.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
AP019559.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AP019560.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
AP019561.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
AP019562.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
AY048850.1	{'genus': ['Natrinema'], 'family': ['Natrialbaceae'], 'order': ['Natrialbales'], 'phylum': ['Euryarchaeota']}
AY129330.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129331.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129333.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129335.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129336.2	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129337.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129338.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY129339.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY264776.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY324828.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
AY328852.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AY328853.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
AY370762.1	{'genus': ['Sulfolobus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AY388628.1	{'genus': ['Sulfolobus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AY423772.1	{'genus': ['Sulfolobus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AY500152.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY500153.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
AY526908.1	{'genus': ['Bordetella'], 'family': ['Alcaligenaceae'], 'order': ['Burkholderiales'], 'phylum': ['Proteobacteria']}
AY526909.1	{'genus': ['Bordetella'], 'family': ['Alcaligenaceae'], 'order': ['Burkholderiales'], 'phylum': ['Proteobacteria']}
AY569307.1	{'genus': ['Sulfolobus'], 'family': ['Sulfolobaceae'], 'order': ['Sulfolobales'], 'phylum': ['Crenarchaeota']}
AY576796.1	{'genus': ['Actinoplanes'], 'family': ['Micromonosporaceae'], 'order': ['Micromonosporales'], 'phylum': ['Actinobacteria']}
AY583234.1	{'genus': ['Mycoplasma'], 'family': ['Mycoplasmataceae'], 'order': ['Mycoplasmatales'], 'phylum': ['Tenericutes']}
AY583235.1	{'genus': ['Mycoplasma'], 'family': ['Mycoplasmataceae'], 'order': ['Mycoplasmatales'], 'phylum': ['Tenericutes']}
AY587007.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY657002.1	{'genus': ['Streptococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
AY692264.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY722806.1	{'genus': ['Thermoproteus'], 'family': ['Thermoproteaceae'], 'order': ['Thermoproteales'], 'phylum': ['Crenarchaeota']}
AY751747.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY753669.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY766464.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
AY838795.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY848686.1	{'genus': ['not defined'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
AY950802.1	{'genus': ['Haloarcula'], 'family': ['Haloarculaceae'], 'order': ['Halobacteriales'], 'phylum': ['Euryarchaeota']}
BX571876.1	{'genus': ['Leptospira'], 'family': ['Leptospiraceae'], 'order': ['Leptospirales'], 'phylum': ['Spirochaetes']}
CP000711.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
