Phage accession	Host lineage
MK279905.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK279906.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK279907.1	{'genus': ['Arthrobacter'], 'family': ['Micrococcaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK279908.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK279909.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK279910.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK279911.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK284518.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK284520.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK284521.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK284522.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK284526.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK284527.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK284528.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK286578.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK288021.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK288022.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK290764.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK291441.1	{'genus': ['Paracoccus'], 'family': ['Rhodobacteraceae'], 'order': ['Rhodobacterales'], 'phylum': ['Proteobacteria']}
MK291442.1	{'genus': ['Paracoccus'], 'family': ['Rhodobacteraceae'], 'order': ['Rhodobacterales'], 'phylum': ['Proteobacteria']}
MK291443.1	{'genus': ['Paracoccus'], 'family': ['Rhodobacteraceae'], 'order': ['Rhodobacterales'], 'phylum': ['Proteobacteria']}
MK291444.1	{'genus': ['Paracoccus'], 'family': ['Rhodobacteraceae'], 'order': ['Rhodobacterales'], 'phylum': ['Proteobacteria']}
MK291445.1	{'genus': ['Paracoccus'], 'family': ['Rhodobacteraceae'], 'order': ['Rhodobacterales'], 'phylum': ['Proteobacteria']}
MK295203.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK295204.1	{'genus': ['Shigella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK295205.1	{'genus': ['Shigella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK301437.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK301438.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK301439.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK301440.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK301441.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK301442.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK301532.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK301608.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK305885.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK305886.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK305887.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK305888.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK305889.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK305890.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK305891.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK305892.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK305893.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK308637.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK308638.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK310138.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK310139.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK310141.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK310142.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK310143.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK310144.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK310182.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK310183.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK310184.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK310226.1	{'genus': ['Halobacterium'], 'family': ['Halobacteriaceae'], 'order': ['Halobacteriales'], 'phylum': ['Euryarchaeota']}
MK317959.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK318076.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK318083.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK327140.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327928.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327929.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327930.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327931.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327932.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327933.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327934.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327935.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327936.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327937.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327938.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327939.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327940.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327941.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327942.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327943.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327944.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327945.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327946.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK327947.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK331930.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK331931.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK335533.1	{'genus': ['Shigella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK340760.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK340761.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK340941.1	{'genus': ['Acinetobacter'], 'family': ['Moraxellaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK348510.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK358448.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK359299.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359300.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359302.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359303.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359304.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359305.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359306.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359307.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359308.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359309.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359311.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359312.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359313.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359314.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359316.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359317.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359318.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359320.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359321.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359322.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359324.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359326.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359327.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359328.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359329.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359330.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359331.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359332.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK359333.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359334.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359335.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359336.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359337.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359340.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359342.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359343.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359344.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359345.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359346.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359347.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359348.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359349.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359350.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359351.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK359352.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359353.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359354.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359355.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359356.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359357.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359358.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359359.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359360.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359361.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359363.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359364.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK359365.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK360024.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK360025.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK368614.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK370036.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK372342.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373770.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373771.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373772.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373773.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373775.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373776.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373777.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373778.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373779.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373780.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373781.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373782.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373783.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373784.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373785.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373786.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373787.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373788.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373789.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373790.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373791.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373792.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373793.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373794.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373795.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373796.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373797.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373798.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK373799.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK376953.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376954.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376955.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376956.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376957.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376959.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376960.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376961.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376962.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK376963.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK380014.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK380015.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK380016.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK387309.1	{'genus': ['Pseudoalteromonas'], 'family': ['Pseudoalteromonadaceae'], 'order': ['Alteromonadales'], 'phylum': ['Proteobacteria']}
